 Lammps data file for nanotube
 
        2745 atoms
           1 atom types
 
  -33.66221       67.32442     xlo xhi
  -29.16934       58.33868     ylo yhi
  -80.00000       80.00000     zlo zhi
 
  Atoms
 
  666    1 -26.060  32.720   0.000
  667    1 -29.550  33.929   0.000
  668    1 -28.154  33.929   0.000
  669    1 -27.456  35.138   0.000
  670    1 -26.060  35.138   0.000
  671    1 -29.550  36.347   0.000
  672    1 -28.154  36.347   0.000
  673    1 -27.456  37.556   0.000
  674    1 -26.060  37.556   0.000
  675    1 -29.550  38.765   0.000
  676    1 -28.154  38.765   0.000
  677    1 -27.456  39.974   0.000
  678    1 -26.060  39.974   0.000
  679    1 -29.550  41.183   0.000
  680    1 -28.154  41.183   0.000
  681    1 -27.456  42.392   0.000
  682    1 -26.060  42.392   0.000
  683    1 -29.550  43.601   0.000
  684    1 -28.154  43.601   0.000
  685    1 -27.456  44.810   0.000
  686    1 -26.060  44.810   0.000
  687    1 -29.550  46.019   0.000
  688    1 -28.154  46.019   0.000
  689    1 -27.456  47.228   0.000
  690    1 -26.060  47.228   0.000
  691    1 -29.550  48.437   0.000
  692    1 -28.154  48.437   0.000
  693    1 -27.456  49.646   0.000
  694    1 -26.060  49.646   0.000
  695    1 -29.550  50.855   0.000
  696    1 -28.154  50.855   0.000
  697    1 -27.456  52.064   0.000
  698    1 -26.060  52.064   0.000
  699    1 -29.550  53.273   0.000
  700    1 -28.154  53.273   0.000
  701    1 -27.456  54.482   0.000
  702    1 -26.060  54.482   0.000
  703    1 -29.550  55.690   0.000
  704    1 -28.154  55.690   0.000
  705    1 -27.456  56.899   0.000
  706    1 -26.060  56.899   0.000
  707    1 -25.362  29.093   0.000
  708    1 -23.966  29.093   0.000
  709    1 -23.268  30.302   0.000
  710    1 -21.872  30.302   0.000
  711    1 -25.362  31.511   0.000
  712    1 -23.966  31.511   0.000
  713    1 -23.268  32.720   0.000
  714    1 -21.872  32.720   0.000
  715    1 -25.362  33.929   0.000
  716    1 -23.966  33.929   0.000
  717    1 -23.268  35.138   0.000
  718    1 -21.872  35.138   0.000
  719    1 -25.362  36.347   0.000
  720    1 -23.966  36.347   0.000
  721    1 -23.268  37.556   0.000
  722    1 -25.362  38.765   0.000
  723    1 -23.966  38.765   0.000
  724    1 -25.362  41.183   0.000
  725    1 -25.362  43.601   0.000
  726    1 -25.362  46.019   0.000
